amount,channel,source_file
28559.07,GoFundMe,BrooksIndividualFundraisers
13311.56,GoFundMe,BrooksIndividualFundraisers
366.64,Unknown,BrooksIndividualFundraisers
13656.78,GoFundMe,BrooksIndividualFundraisers
26135.19,GoFundMe,BrooksIndividualFundraisers
8117.11,PayPal,BrooksIndividualFundraisers
23185.33,GoFundMe,BrooksIndividualFundraisers
35085.0,Unknown,BrooksIndividualFundraisers
7053.37,GoFundMe,BrooksIndividualFundraisers
15670.22,GoFundMe,BrooksIndividualFundraisers
248.23,Unknown,BrooksIndividualFundraisers
79.78,Unknown,BrooksIndividualFundraisers
