date,channel,amount,payment_status,source_tab,source_file
2025-01-26,DonorBox,300.0,Paid,Jana to FollowUp,DonorsPaliNightFund
2025-01-26,DonorBox,104.56,Paid,Jana to FollowUp,DonorsPaliNightFund
2025-01-26,DonorBox,300.0,Paid,Jana to FollowUp,DonorsPaliNightFund
2025-01-26,DonorBox,42.09,Paid,Jana to FollowUp,DonorsPaliNightFund
2025-01-28,E-transfer to our bank,3000.0,Paid,Jana to FollowUp,DonorsPaliNightFund
2025-01-29,E-transfer to our bank,1000.0,Paid,Jana to FollowUp,DonorsPaliNightFund
2025-01-29,E-transfer to our bank,500.0,Paid,Jana to FollowUp,DonorsPaliNightFund
2025-01-26,E-transfer to our bank,1000.0,Paid,E-Transfer,DonorsPaliNightFund
2025-01-26,E-transfer to our bank,100.0,Paid,E-Transfer,DonorsPaliNightFund
2025-01-26,E-transfer to our bank,3000.0,Paid,E-Transfer,DonorsPaliNightFund
2025-01-27,E-transfer to our bank,1000.0,Paid,E-Transfer,DonorsPaliNightFund
2025-01-27,E-transfer to our bank,2000.0,Paid,E-Transfer,DonorsPaliNightFund
2025-01-26,DonorBox,312.79,Paid,DonorBox,DonorsPaliNightFund
2025-01-26,DonorBox,104.56,Paid,DonorBox,DonorsPaliNightFund
2025-01-26,DonorBox,300.0,Paid,DonorBox,DonorsPaliNightFund
2025-01-26,DonorBox,42.09,Paid,DonorBox,DonorsPaliNightFund
2025-01-09,e-transfer to Jana's,90.0,Paid,Jana's Bank E-transfer,DonorsPaliNightFund
2025-01-10,e-transfer to Jana's,45.0,Paid,Jana's Bank E-transfer,DonorsPaliNightFund
2025-01-12,e-transfer to Jana's,90.0,Paid,Jana's Bank E-transfer,DonorsPaliNightFund
2025-01-12,e-transfer to Jana's,90.0,Paid,Jana's Bank E-transfer,DonorsPaliNightFund
2025-01-12,e-transfer to Jana's,135.0,Paid,Jana's Bank E-transfer,DonorsPaliNightFund
